provincia,año,temp_mean,temp_max,temp_min,precipitacion,lluvia,horas_sol,viento_max,evapotranspiracion,rend_Cebada,rend_Grano se soja,rend_Maíz,rend_Semilla de girasol,rend_Sorgo,rend_Trigo
Buenos_Aires,2010,15.01370596180822,20.27093170958904,9.941342604821918,842.60000174,842.60000174,12490081.311056,18.668639028767124,1257.50980247,746435.0,18130800.0,2904035.0,1495317.0,755235.0,4531520.0
Buenos_Aires,2011,15.369282625753424,20.928876866027398,10.057506995205479,631.30000318,631.30000318,13071553.290784,19.016482900547945,1368.24996283,1121278.0,18764850.0,3747838.0,1743040.0,1012617.0,4496078.0
Buenos_Aires,2012,15.397270019672131,20.58630074726776,10.467038399125682,1162.10001415,1162.10001415,12457045.258834,18.723410696721313,1241.23700452,1694545.0,17577320.0,3696300.0,1823412.0,913815.0,3018403.0
Buenos_Aires,2013,15.233688865753424,20.79736999232877,9.976411141068494,689.79998939,689.79998939,13173095.00962,18.412063893150684,1337.61319221,1203306.0,19418824.0,4863801.0,1620081.0,889993.0,3451785.0
Buenos_Aires,2014,15.25454513260274,20.40504128,10.34476727509041,1149.90000209,1149.90000209,12071326.95707,18.81983111643836,1209.04994208,888873.0,19252552.0,4836655.0,1261640.0,787657.0,4957300.0
Buenos_Aires,2015,15.661091958356165,20.92613721780822,10.584630302027398,813.20000195,813.20000195,12582985.28832,18.434412465753425,1280.90422282,888873.0,19352115.0,4626880.0,1439915.0,658576.0,3953102.0
Buenos_Aires,2016,15.196281706010929,20.282748830874315,10.423185941114754,705.79999105,705.79999105,11957845.4144,18.652073521857922,1260.76535196,1246891.0,19504648.0,5346593.0,1413963.0,673550.0,5566385.0
Buenos_Aires,2017,15.637597394246576,20.754280838356166,10.885376561506849,1004.2000126,1004.2000126,11995957.08498,20.007325206849316,1220.11281858,870213.0,17335102.0,6530673.0,1819045.0,541955.0,5822173.0
Buenos_Aires,2018,15.350166163287671,20.433321914520548,10.537431357824657,913.69999465,913.69999465,12125511.661374,19.190899584931508,1245.0570832,1209995.0,16318060.0,7138620.0,1678031.0,437463.0,6050953.0
Buenos_Aires,2019,15.040999299452055,20.416609655342466,10.03770534268493,807.00001858,807.00001858,12683602.59165,19.702820016438356,1252.36978963,1121449.0,16575887.0,7232761.0,1875938.0,342623.0,6729838.0
Buenos_Aires,2020,15.32214420874317,20.778046487431695,10.140614622049181,625.00000736,625.00000736,13071186.70339,20.219763542349728,1343.6650732,1078835.0,16710793.0,7730506.0,1381571.0,395204.0,6394102.0
Buenos_Aires,2021,15.375594064931507,20.799075347945205,10.379760163297535,927.40001708,927.40001708,12742671.78754,19.242040820547945,1254.39885578,1006503.0,16466714.0,8146596.0,1628002.0,748566.0,6548477.0
Buenos_Aires,2022,14.943042841369863,20.802499974246576,9.612499899182467,774.39998994,774.39998994,12957344.44793,19.30543131369863,1332.81245441,1335623.0,15874266.0,8768441.0,1958686.0,699887.0,5488728.0
Buenos_Aires,2023,15.653248250958903,21.108801304657536,10.607020449791781,981.40001318,981.40001318,12429115.3699,19.343872979452055,1311.85996299,1589966.0,14356922.0,8104641.0,2453245.0,500421.0,5575352.0
Buenos_Aires,2024,15.370596031010928,20.796625743169397,10.318210296284153,998.00000109,998.00000109,12900958.7793,18.925000767213113,1281.54661963,1296636.0,16371093.0,8736712.0,1842731.0,626182.0,6341303.0
Chaco,2010,21.120372047123286,25.70956153780822,16.914356196438355,1378.09999678,1378.09999678,12613046.19639,17.343661600273972,1422.1939514,746435.0,18130800.0,2904035.0,1495317.0,755235.0,4531520.0
Chaco,2011,21.545720172328767,26.330520320547947,17.270246599178083,1243.70003339,1243.70003339,12505710.99839,16.929316347945203,1443.31354282,1121278.0,18764850.0,3747838.0,1743040.0,1012617.0,4496078.0
Chaco,2012,22.96340521721312,28.066655424863388,18.401765046721312,1054.70001513,1054.70001513,13099621.371235,18.167059452185793,1656.16059545,1694545.0,17577320.0,3696300.0,1823412.0,913815.0,3018403.0
Chaco,2013,21.59199873342466,26.470794253424657,17.156410997342466,1176.10000744,1176.10000744,12732198.68841,17.529122319452057,1520.82283931,1203306.0,19418824.0,4863801.0,1620081.0,889993.0,3451785.0
Chaco,2014,22.297066860273972,26.831342310958902,18.296547970136984,1595.99999824,1595.99999824,12093776.97456,17.97988183589041,1440.15558937,888873.0,19252552.0,4836655.0,1261640.0,787657.0,4957300.0
Chaco,2015,22.100069590410957,26.336684761643838,18.373260296986302,1793.09997777,1793.09997777,12068901.848397,17.159761983561644,1309.76778424,888873.0,19352115.0,4626880.0,1439915.0,658576.0,3953102.0
Chaco,2016,20.969328908469944,25.41911462978142,16.910098399453553,1625.29999108,1625.29999108,12214614.79547,16.443916159016396,1343.77947769,1246891.0,19504648.0,5346593.0,1413963.0,673550.0,5566385.0
Chaco,2017,22.262089039178083,26.944109589041098,18.09315068493151,1521.99999273,1521.99999273,11940027.357346,19.037363846575342,1465.43037911,870213.0,17335102.0,6530673.0,1819045.0,541955.0,5822173.0
Chaco,2018,21.910085575342467,26.81356164383562,17.518767123287674,1386.49999079,1386.49999079,12276822.494925,18.3045568,1447.40912083,1209995.0,16318060.0,7138620.0,1678031.0,437463.0,6050953.0
Chaco,2019,21.884143683561643,26.553424657534247,17.638219178082192,1494.10002409,1494.10002409,12071225.47508,18.63985415479452,1436.48289681,1121449.0,16575887.0,7232761.0,1875938.0,342623.0,6729838.0
Chaco,2020,22.66991688661202,28.102868852459014,17.7655737704918,760.40001007,760.40001007,13335127.44523,19.256914176229508,1747.28206335,1078835.0,16710793.0,7730506.0,1381571.0,395204.0,6394102.0
Chaco,2021,21.79525661013699,26.937260273972605,17.143287671232876,1262.69999635,1262.69999635,13064747.26017,17.61194767589041,1538.4352438,1006503.0,16466714.0,8146596.0,1628002.0,748566.0,6548477.0
Chaco,2022,22.048167828767124,27.444109589041098,17.098767123287672,1253.09996097,1253.09996097,12787764.9016301,19.21713474931507,1694.62884716,1335623.0,15874266.0,8768441.0,1958686.0,699887.0,5488728.0
Chaco,2023,23.217870964383565,28.152876712328766,18.80986301369863,1609.5999977000001,1609.5999977000001,12146596.6044,18.730961838356166,1548.36966258,1589966.0,14356922.0,8104641.0,2453245.0,500421.0,5575352.0
Chaco,2024,22.489833734972677,27.29849726775956,18.280464480874315,1708.70002119,1708.70002119,12376670.09856,18.071250470765026,1488.33674845,1296636.0,16371093.0,8736712.0,1842731.0,626182.0,6341303.0
Cordoba,2010,17.644016579178082,23.241294335068492,12.556773748054795,630.69998877,630.69998877,13271704.04505,16.584665430410958,1428.57662071,746435.0,18130800.0,2904035.0,1495317.0,755235.0,4531520.0
Cordoba,2011,17.942069982465753,23.750609375342467,12.616910732208218,536.20000325,534.7000035,13841701.35436,16.84018260739726,1496.61037498,1121278.0,18764850.0,3747838.0,1743040.0,1012617.0,4496078.0
Cordoba,2012,18.351537060382515,24.012483418032787,13.362619953387977,782.49999654,782.49999654,13200669.2802,17.396283612021858,1438.841275,1694545.0,17577320.0,3696300.0,1823412.0,913815.0,3018403.0
Cordoba,2013,18.29468420739726,24.31074639452055,12.857184706978082,535.20001335,535.20001335,13831941.275,16.661249417808218,1547.56738304,1203306.0,19418824.0,4863801.0,1620081.0,889993.0,3451785.0
Cordoba,2014,18.004986735342467,23.376636747945206,13.12759563158904,751.29999303,751.29999303,12960013.79397,17.11556244109589,1382.29926218,888873.0,19252552.0,4836655.0,1261640.0,787657.0,4957300.0
Cordoba,2015,18.172104443287672,23.310472410958905,13.635129908821916,735.50000358,735.50000358,12444965.53763,16.199763892876714,1296.24136027,888873.0,19352115.0,4626880.0,1439915.0,658576.0,3953102.0
Cordoba,2016,17.36386156693989,22.500324926229506,12.732018929344264,733.60000514,733.60000514,12432776.39117,16.395067695628416,1322.92724359,1246891.0,19504648.0,5346593.0,1413963.0,673550.0,5566385.0
Cordoba,2017,17.60698067260274,23.20698630136986,12.731917808219178,780.49998903,780.49998903,12878862.16382,18.10862000712329,1386.45650932,870213.0,17335102.0,6530673.0,1819045.0,541955.0,5822173.0
Cordoba,2018,17.535707756438356,23.28849315068493,12.476438356164383,692.80000333,692.40000337,12817811.598085,17.209841763835616,1398.59764994,1209995.0,16318060.0,7138620.0,1678031.0,437463.0,6050953.0
Cordoba,2019,17.076449775068493,22.561095890410957,12.267123287671232,919.1000209,919.000021,12727970.95374,17.179401793972602,1310.9328495,1121449.0,16575887.0,7232761.0,1875938.0,342623.0,6729838.0
Cordoba,2020,17.53395954125683,23.652595628415302,12.088934426229509,614.10001489,614.10001489,13726344.0107,17.441892760928962,1493.57054375,1078835.0,16710793.0,7730506.0,1381571.0,395204.0,6394102.0
