provincia,año,temp_mean,temp_max,temp_min,precipitacion,lluvia,horas_sol,viento_max,evapotranspiracion,provincia_norm,provincia_est,rend_Cebada,rend_Girasol,rend_Maíz,rend_Soja,rend_Sorgo,rend_Trigo
Buenos_Aires,2010,15.01370596180822,20.27093170958904,9.941342604821918,842.60000174,842.60000174,12490081.311056,18.668639028767124,1257.50980247,BUENOS AIRES,BUENOS AIRES,3624.5,2332.0,7058.0,2417.0,4741.0,3893.5
Buenos_Aires,2011,15.369282625753424,20.928876866027398,10.057506995205479,631.30000318,631.30000318,13071553.290784,19.016482900547945,1368.24996283,BUENOS AIRES,BUENOS AIRES,2607.0,1893.0,6337.0,2413.3333333333335,5119.0,3510.0
Buenos_Aires,2012,15.397270019672131,20.58630074726776,10.467038399125682,1162.10001415,1162.10001415,12457045.258834,18.723410696721313,1241.23700452,BUENOS AIRES,BUENOS AIRES,2607.5,2277.0,8010.0,2439.6666666666665,4429.0,3037.5
Buenos_Aires,2013,15.233688865753424,20.79736999232877,9.976411141068494,689.79998939,689.79998939,13173095.00962,18.412063893150684,1337.61319221,BUENOS AIRES,BUENOS AIRES,3272.5,1874.0,6954.0,2409.3333333333335,4270.0,3256.5
Buenos_Aires,2014,15.25454513260274,20.40504128,10.34476727509041,1149.90000209,1149.90000209,12071326.95707,18.81983111643836,1209.04994208,BUENOS AIRES,BUENOS AIRES,2776.0,2367.0,7983.0,2753.3333333333335,4500.0,3021.0
Buenos_Aires,2015,15.661091958356165,20.92613721780822,10.584630302027398,813.20000195,813.20000195,12582985.28832,18.434412465753425,1280.90422282,BUENOS AIRES,BUENOS AIRES,3468.0,2347.0,8271.0,2962.0,4753.0,3555.5
Buenos_Aires,2016,15.196281706010929,20.282748830874315,10.423185941114754,705.79999105,705.79999105,11957845.4144,18.652073521857922,1260.76535196,BUENOS AIRES,BUENOS AIRES,3899.0,2206.0,8397.0,2891.3333333333335,4817.0,3146.0
Buenos_Aires,2017,15.637597394246576,20.754280838356166,10.885376561506849,1004.2000126,1004.2000126,11995957.08498,20.007325206849316,1220.11281858,BUENOS AIRES,BUENOS AIRES,4140.0,2247.0,6619.0,2040.6666666666667,4242.0,3589.0
Buenos_Aires,2018,15.350166163287671,20.433321914520548,10.537431357824657,913.69999465,913.69999465,12125511.661374,19.190899584931508,1245.0570832,BUENOS AIRES,BUENOS AIRES,4281.0,2139.0,8756.0,3088.0,4944.0,3853.5
Buenos_Aires,2019,15.040999299452055,20.416609655342466,10.03770534268493,807.00001858,807.00001858,12683602.59165,19.702820016438356,1252.36978963,BUENOS AIRES,BUENOS AIRES,3485.0,2128.0,8109.0,2801.3333333333335,4891.0,3145.0
